cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Bella Lodi	unpasteurized cow's milk	Italy	Lodi	Parmesan	"hard, artisan"			natural	"crumbly, flaky and grainy"	white	full-flavored	"aromatic, rich"	Lodigrana	Black Parmesan		yes	"Known as the Black Parmesan, Bella Lodi cheese is an exquisite Italian cheese made by only one dairy in an ancient town of South Park Adda. The cheese is matured for 18 months, during which it develops its unique texture, color and smell. It is often associated with its characteristic black rind. This peculiar blackened rind is achieved only when the wheels are hand coated with a mixture of clay called ""umber"" (ochre), grape seed oil and carbon black. The coating on the rind differentiates it from various Parmesan-style cheeses as well as is a tribute to the Lodi tradition. Bella Lodi is made without preservatives or added allergens, using milk that comes from cows in the Lodi area. It is white in color, with an intense and fragrant smell; full flavor that is not too sharp or salty. The characteristics do not change much even in summer. There is a version of Bella Lodi that is produced with ""GMO-free vegetarian rennet""."
Belle Creme	pasteurized cow's milk	Canada	Québec	Brie	"soft, soft-ripened"			bloomy	"buttery, creamy, smooth and soft-ripened"	white	"acidic, buttery, creamy, salty"	"mushroom, nutty"	La Maison Alexis de Portneuf Inc.				"Belle Creme is a triple cream, bloomy rind cheese made in the style of Brie from pasteurized cow's milk. It has a creamy and smooth texture with a nut-flavored fluffy rind, depending on the age of the cheese. The liberal creaminess of her fresh butter and the invigorating aroma of fresh mushrooms are complemented by the divine taste of cream with a slight hint of salt. Pair apples, Mâcon-Villages (white), Belgian Tripels and Fruit Beer to go with the creaminess of the cheese."
Belletoile	pasteurized cow's milk	France		Brie	"soft, soft-ripened"	70%			creamy		"garlicky, mild, mushroomy, nutty, tangy"	mild	Fromagerie Henri Hutin			no	"Made by the French fromagerie Hutin, Belletoile is a triple cream cheese produced in the Lorraine region of France. This delicious cheese has the qualities of Brie. It is made by the cow's milk and offers a soft texture with surface moulds when aged. Bloomy rind and creamy, buttery, smooth and mellow in flavor. The fat content is 70%. It is a spreadable and luscious triple crème cheese and can be served on crispy French bread to taste its delicacy."
Bellwether Farms Crescenza	pasteurized cow's milk	United States	"Sonoma, California"		"soft, artisan"			rindless	"buttery, soft-ripened and spreadable"	ivory	"buttery, tart"	"buttery, rich"	Bellwether Farms	Crescenza		yes	"Crescenza is a pasteurized Jersey cow's milk cheese produced by Bellwether Farms in Sonoma County, California. Originally from Italy, it is also produced in other parts of the world. Crescenza, a soft-ripened cheese is aged for 1 week that develops rich, slightly tart flavor. This soft-ripened, rindless cheese is made traditional Italian square shapes.  Slice it, spread it or melt it on pizza or bread."
Benedictine	"pasteurized cow's, goat's and sheep's milk"	United States	"La Velle, Wisconsin"		"semi-hard, artisan"			washed	creamy	yellow			Carr Valley Cheese Company				"A cheese made from fresh milk of sheep, goat and cow, Benedictine is a flavorful cheese which is hand rubbed for 12 weeks. The cheese has a spongy and smooth texture and can be best enjoyed with champagne, Riesling, Tequila and beers. The cheese looks like the Monterey jack and has a pungent odour with tangy and sour taste."
Bent River	pasteurized cow's milk	United States	"Mankato, MN"	Camembert	"soft, artisan, soft-ripened"			bloomy	smooth and soft		"buttery, mellow, milky, subtle"	mushroom	Alemar Cheese				"Bent River, Alemar Cheese Co's flagship product is a Camembert-style cheese named after the sharp turn of Minnesota just a few hundred yards from the production site. It is available in the market at five weeks and over six weeks or so, the cheese will fully mature to showcase its optimum texture and flavor profile. As the cheese ages, it will have a smooth paste throughout, right from the centre of the cheese. Depending on your liking, the flavors will vary from mellow, mushroomy, milky, buttery, and subtle when it's young; leading the way as it ages."
Bergader	cow's milk	Germany											Bergader Privatkäserei GmbH			no	"Bergader is a German cheese manufacturing company famous for their different varieties of traditional Bavarian cheeses. Their cheese specialities have won many awards including a gold medal by the German Agricultural Society for Bergader Edelpilz, Bergader Blu, Bergader Bergbauern and Bergader Almkäs. Bergader was founded by Basil Weixler in 1902. He launched many popular cheeses over his lifetime, the most famous being Bergader Edelpilz. A mould ripened, blue-veined cheese with a mushroomy taste, the recipe for Bergader Edelpilz hasn't changed since 1927. Another of their cheese speciality is the mild flavored Bavaria blu, lactose and gluten free blue cheese made entirely without additives or preservatives.  Cheeses manufactured by Bergader:  Bergader Edelpilz Bergader BLU Bavaria Blu Bergader Cremosissimo Bergader Mini brie Bonifaz Basils Original Rauchkäse Bianco Bergader Caciotta Bergader Petida"
Bergere Bleue	unpasteurized sheep's milk	United States	"Marathon, NY"	Blue	"semi-soft, artisan, blue-veined"			mold ripened	"creamy, crumbly and smooth"	pale yellow	burnt caramel	"lanoline, rich, yeasty"	Northland Sheep Dairy			yes	"This cheese is currently unavailable on official site. Bergere Bleue is an artisanal blue cheese made from raw ewe's milk by the Northland Sheep Dairy in the United States. This creamy, roquefort-style blue cheese has a sticky, moist natural rind with occasional blotches of natural yeast and moulds. Bergere Bleue is a cylindrical shaped cheese with a rich aroma of lanolin and yeast. It melts in the mouth like butter, releasing the flavor of burnt caramel. The blue-green streaks of Penicillin Roquefort give a spicy piquancy to the pale lemon-colored cheese with a moist and slightly crumbly texture. The more mature cheese is spreadable. It takes 4-12 months for the cheese to develop its full potency."
Bergues	unpasteurized cow's milk	France	 Bergues		semi-hard	15-25%		washed	smooth		"subtle, sweet"	aromatic				no	"Bergues is a washed rind cheese from the historical Flanders proivnce in Nord-Pas de Calais region of France. Made from cow's milk, Bergues cheese has been made in Flanders for the centuries. After refining in wet cellars for 2 months, it is sent to wash in salted water and beer for 3 weeks. When matured, it offers delicious flavor, little brown or mushroomy rind and amazingly white paste. The fat content is around 15 - 25%. This disk shaped and soft textured cheese can be enjoyed throughout the year. Pair it with Light red wines or beer."
Berkswell	unpasteurized sheep's milk	United Kingdom	West Midlands	Parmesan	"hard, smear-ripened"	48%		natural	"chewy, dense and firm"	pale yellow	acidic	goaty	"Berkswell Cheese Company , Ram Hall Farm"			yes	"Berkswell cheese comes from England. Fletcher family at Ram Hall Farm, near Berkswell, West Midlands is famous as an ace producer of Berkswell cheeses. Unpasteurised ewes' milk is used while preparing this cheese with a traditional method. The moulds of cheeses are left in plastic kitchen colanders which give the cheese its typical shape. Berkswell cheese is left for maturation at least for 6 months.Since animal rennet is added during cheese-making process, the cheese is not suitable for vegetarians."
Bermondsey Hard Pressed	unpasteurized cow's milk	"England, Great Britain and United Kingdom"	"Bermondsey, London"	Cheddar	"hard, artisan"			natural	"creamy, crumbly and open"	yellow	"creamy, nutty"	barnyardy	KAPPACASEIN DAIRY				"Bermondsey Hard Pressed is a hard-pressed, hard-rind unpasteurized cow's milk cheese made by Bill Oglethorpe, an urban cheesemaker in London. It is an Alpine-style cheese with a texture that is slightly creamier than Cheddar and dotted with irregular eyes or holes. Flavors are 'farmyardy' with a lot of complexity thrown in. Enjoy the cheese with a Kernel Pale Ale."
Bermuda Triangle	pasteurized goat's milk	United States	California	Brie	"semi-soft, soft-ripened"			bloomy	"creamy, crumbly, dense, firm and smooth"	white	"earthy, piquant, spicy, tangy"	"earthy, fresh, spicy"	Cypress Grove Chevre			yes	"This cheese was created by Cypress Grove Chevre company in 1997 specially in a triangular prism shape since it is ideal for slicing unique portions and looks attractive on a plate. For producing 'Bermuda Triangle', the cheesemakers use pasteurised goat's milk. It is coated with a layer of edible black ash, sprayed with mould cultures and ripened / cold stabilized for several days before being sold in the market.When young, the interior of the cheese is chalky white in color with a smooth, firm and slightly crumbly texture. As it ages, the paste below the velvety white bloom rind starts becoming softer, lucid, and ultimately runny. The cheese displays tart and tangy with intense pepper notes, which become assertive as it ages. Bermuda Triangle goes well with candied fruit, spicy nuts, and pears. This cheese has won many awards including First Place, American Cheese Society, 1998, 1999, 2002, 2013, 2014. sofi Awards, Perishable Food Service Product, 2013."
Bethmale des Pyrenees	cow's milk	France	Pyrenees		semi-hard			natural		brownish yellow	mild	"aromatic, earthy, mushroom"				no	"The Bethmale, made from cow's milk, is a Tomme with an impressive 'farmyard' quality. Soft in consistency and mild of taste, it is uncooked, pressed, with distinctive slight holes marking its appearance. The first Bethmale dates back to the times of the Moor occupation."
Bettine Bleu	pasteurized goat's milk	Netherlands			semi-hard	39.6 g/100g							Bettinehoeve BV			no	"This cheese is currently unavailable on official site. Pasteurised goat milk is used to produce this Dutch bleu gourmet cheese. Name of the cheese is derived from the word ""Bettine"" which was known as ""goat"" in the 17th century days. The old traditional method is used to mature this cheese and it takes 8 weeks for maturation. Bettine Bleu cheese features light colored with delicate creamy flavor and its blue veins add some spice to it."
Bettine Grand Cru	pasteurized goat's milk	Netherlands			semi-hard					Producers: Bettinehoeve BV	"spicy, strong"	strong					"Bettine Grand Cru is a very famous cheese and it was chosen as ""2006 Best Cheese of the World"", in annual Nantwich International Cheese Show held in England. Made from Pasteurised goat’s milk, cheese is matured for 10months. This medium hard, light colored cheese offers spicy flavor. This special cheese goes good with a glass of wine."
Beyaz Peynir	"unpasteurized cow's, goat's or sheep's milk"	Turkey			"semi-soft, brined"					pale white						yes	"Beyaz Peynir is a traditional, vegetarian, unpasteurised brine cheese made from sheep, cow or goat milk. Beyaz Peynir is the most popular Turkish cheese. Pure white and rindless, the cheese has a grainy appearance. Vegetable rennet is used to clot the milk. The curds are pressed for a few hours, then roughly chopped and strained, sometimes in attractive wooden or woven moulds. After draining, the cheese is cut into slices, then salted and placed in a brine solution. It is usually stored in brine for more than six months. This cheese resembles feta and is usually sold in blocks or slices. It is soaked in cold water or milk before use, to remove the excess salt. Beyaz peynir is available in different styles ranging from non-matured cheese curds to strong mature cheese. It is used in salads, pastries and many local dishes."
